artist,id,title
'Unknown Mortal Orchestra',3GWVkWWgn7su8Z06oBjiiX,'The World Is Crowded'
'Jay Som',6PInkrdWpzFi6c4Ffrzs3q,'Baybee'
'HOMESHAKE',3InGhqsb60KGnCKraYGyEy,'Doo Dah'
'Mild High Club',6JZv5f9ufV0Uz7VbGpd2DL,'Skiptracing'
'Triathalon',6OyXa2uZa4eF7F4AGTlh3w,'South Side'
'Part Time',44mt8wfCb9L0DvIMEJq25e,'No Boys'
'Masta Ace',4yvxAyH0zHfDCFDImEWqSb,'Fresh Fest - Mono:Massive Remix'
'Clipse',3LPNfzKa0VYlNedCY4MuBy,'Cot Damn (feat. Ab-Liva & Rosco P. Coldchain)'
'Masta Ace',23RJg00mFONjIqYML6mtsE,'Acknowledge'
'Talib Kweli',1uyOaP8snkt3GaiWv2vxBe,'Boomerang'
'Talib Kweli',57JCzin13qF9tTsX2XOixa,'Ocean Song (feat. Mela Machinko)'
'Talib Kweli',2obPT2u5o0xVix47OdwnmH,'Tryin to Breathe (feat. Killer Mike)'
'DJ Quik',76mBeJwWaSq3CeDfO4UqSh,'Itz Your Fantasy'
'Naughty By Nature',3MPKTMJIxlORqcxw542HHK,'Jamboree (feat. Zhané)'
'Rappin' 4-Tay',4ZYM6R5nOZywxACY90Bsla,'Playaz Club'
'Ant Banks',5E0rj7QDaw1YJ71hbQgX1m,'Shook Niggas'
'Westside Connection',65iyI1iybyv5ecsfBHSdUf,'Gangsta Nation'
'WC',7AftRotDlzN6tz1L4rDo88,'Hood Hop'
'Tha Dogg Pound',1qyoQekQAs5OyrQu8KwTlm,'That Was Then This Is Now'
'WC',5StnI2o1Ivk42n0LMh3T1x,'Get Ya Walk On (Rmx)'
'2Pac',2MQ51y5NhCyva4SgWmK2Me,'Ghetto Gospel'
'Mack 10',1psgjEzoN9sDM8JxoISAEI,'Everyday'
'MC Eiht',2MyFMx8YPzix9E687fCTOb,'Respect It'
'DJ Quik',2RsXDjlhJd8sylorcY4r0o,'Put It On Me'
'Rappin' 4-Tay',2ZxweO12nwE9hPOsd3P7Q5,'I'll Be Around'
'Snoop Dogg',3Lh1nB92RIA8w6jdw9XeMG,'Point Seen Money Gone (feat. Jeremih)'
